step,train_loss,train_ppl,val_loss,val_ppl,lr,elapsed_sec,vram_gb
0,3.0343,20.8,,,2.0000000000000002e-07,0.4,1.88
10,3.6218,37.4,,,2.2e-06,1.7,3.95
20,3.2627,26.1,,,4.2000000000000004e-06,3.0,3.95
30,3.3771,29.3,,,6.2e-06,4.3,3.95
40,3.5453,34.6,,,8.200000000000001e-06,5.5,3.95
50,3.7324,41.8,,,1.02e-05,6.8,4.05
60,3.1620,23.6,,,1.2200000000000002e-05,8.1,5.09
70,3.2481,25.7,,,1.42e-05,9.3,5.09
80,3.2628,26.1,,,1.62e-05,10.6,5.72
90,2.9163,18.5,,,1.8200000000000002e-05,11.9,8.91
100,3.1234,22.7,,,2e-05,13.2,8.91
150,3.5337,34.3,,,1.9986800724660115e-05,19.3,8.91
200,3.1315,22.9,,,1.994724161438924e-05,25.5,8.91
250,3.2356,25.4,3.1631,23.6,1.9881438702873736e-05,32.5,8.91
300,2.9799,19.7,,,1.978958500139078e-05,38.7,8.91
350,3.2404,25.5,,,1.9671949932673007e-05,44.9,8.91
400,2.8675,17.6,,,1.9528878540645225e-05,51.1,8.91
450,2.9081,18.3,,,1.9360790478351125e-05,57.7,8.91
500,3.0937,22.1,2.9421,19.0,1.9168178777038617e-05,65.4,8.91
550,2.9945,20.0,,,1.8951608400014208e-05,72.1,8.91
600,2.9296,18.7,,,1.8711714585508303e-05,79.0,8.91
650,2.5078,12.3,,,1.8449200983412017e-05,85.8,8.91
700,2.9418,18.9,,,1.8164837591350794e-05,92.6,8.91
750,3.0732,21.6,2.8275,16.9,1.785945849614873e-05,100.3,8.91
800,3.1890,24.3,,,1.753395942730818e-05,107.2,8.91
850,3.3540,28.6,,,1.718929512968081e-05,114.1,8.91
900,2.9584,19.3,,,1.682647656303645e-05,121.0,8.91
950,3.1297,22.9,,,1.644656793674389e-05,127.8,8.91
1000,3.1668,23.7,3.0824,21.8,1.605068358826144e-05,135.0,8.91
1050,2.9774,19.6,,,1.5639984714593195e-05,141.9,8.91
1100,2.6996,14.9,,,1.521567596629811e-05,148.8,8.91
1150,2.8651,17.6,,,1.477900191404238e-05,155.8,8.91
1200,2.7453,15.6,,,1.433124339805923e-05,162.7,8.91
1250,3.0027,20.1,3.0878,21.9,1.3873713771223818e-05,169.9,8.91
1300,2.9787,19.7,,,1.3407755046762989e-05,176.9,8.91
1350,2.9471,19.1,,,1.2934733961899218e-05,183.8,8.91
1400,2.8999,18.2,,,1.2456037968974884e-05,190.8,8.91
1450,2.6931,14.8,,,1.1973071165815476e-05,197.7,8.91
1500,2.9620,19.3,2.9916,19.9,1.1487250177268759e-05,204.9,8.91
1550,2.6482,14.1,,,1.1e-05,211.8,8.91
1600,2.7894,16.3,,,1.0512749822731243e-05,218.7,8.91
1650,3.2318,25.3,,,1.0026928834184525e-05,225.6,8.91
1700,2.8729,17.7,,,9.543962031025118e-06,232.5,8.91
1750,3.0563,21.2,2.8619,17.5,9.065266038100783e-06,239.6,8.91
1800,2.7623,15.8,,,8.592244953237014e-06,246.5,8.91
1850,2.7532,15.7,,,8.126286228776181e-06,255.1,8.91
1900,3.2387,25.5,,,7.66875660194077e-06,262.0,8.91
1950,3.1440,23.2,,,7.220998085957619e-06,269.0,8.91
2000,3.1177,22.6,2.8983,18.1,6.78432403370189e-06,276.2,8.91
2050,2.9123,18.4,,,6.360015285406804e-06,283.1,8.91
2100,3.0466,21.0,,,5.94931641173856e-06,290.0,8.91
2150,2.8006,16.5,,,5.553432063256116e-06,296.9,8.91
2200,2.8257,16.9,,,5.173523436963552e-06,303.8,8.91
2250,2.8537,17.4,3.1104,22.4,4.81070487031919e-06,311.1,8.91
2300,2.5315,12.6,,,4.4660405726918255e-06,318.0,8.91
2350,3.0290,20.7,,,4.140541503851273e-06,324.9,8.91
2400,2.5459,12.8,,,3.835162408649206e-06,331.9,8.91
2450,2.9121,18.4,,,3.550799016587986e-06,338.8,8.91
2500,3.7220,41.3,2.9726,19.5,3.2882854144916986e-06,346.0,8.91
2550,3.2863,26.7,,,3.0483915999857948e-06,352.9,8.91
2600,2.7621,15.8,,,2.8318212229613877e-06,359.8,8.91
2650,2.8170,16.7,,,2.6392095216488774e-06,366.7,8.91
2700,2.7029,14.9,,,2.471121459354779e-06,373.7,8.91
2750,3.1619,23.6,3.0320,20.7,2.3280500673269937e-06,380.9,8.91
2800,3.0369,20.8,,,2.21041499860922e-06,387.8,8.91
2850,3.1012,22.2,,,2.1185612971262647e-06,394.8,8.91
2900,2.7483,15.6,,,2.0527583856107635e-06,401.7,8.91
2950,2.9375,18.9,,,2.0131992753398856e-06,408.6,8.91
